Periode,pnbp_minyak_bumi
10/4/2017,2.96372E+11
11/4/2017,1.04972E+11
12/4/2017,4.17919E+11
4/13/2017,6.50561E+11
4/17/2017,1.23217E+11
4/18/2017,1.98257E+11
4/20/2017,2.0582E+11
4/25/2017,1.86408E+11
4/27/2017,43823897672
4/28/2017,1.26103E+11
2/5/2017,1.94031E+12
3/5/2017,62976732395
4/5/2017,4.5696E+11
5/5/2017,1.68204E+11
9/5/2017,2.86303E+11
10/5/2017,98877590314
12/5/2017,1.60465E+11
5/15/2017,6.17019E+11
5/16/2017,2.78474E+11
5/18/2017,6602573680
5/22/2017,3.44843E+11
5/23/2017,3.88587E+11
5/24/2017,4.40571E+11
5/26/2017,6.8259E+11
5/30/2017,4.56716E+11
5/31/2017,2.18257E+12
2/6/2017,43726506121
5/6/2017,1.9821E+11
7/6/2017,251840
8/6/2017,1.33692E+11
9/6/2017,7.77002E+11
12/6/2017,2.75981E+11
6/14/2017,2.11946E+11
6/19/2017,8.04734E+11
6/20/2017,4.54701E+11
6/21/2017,1.52491E+11
6/22/2017,3.8081E+11
3/7/2017,2.33052E+12
4/7/2017,2.73362E+11
5/7/2017,3.2195E+11
6/7/2017,3.35631E+11
10/7/2017,4.61164E+11
11/7/2017,1.84577E+11
12/7/2017,1.93621E+11
7/13/2017,2.41654E+11
7/14/2017,1.45291E+11
7/17/2017,87895379905
7/18/2017,82489517598
7/19/2017,1.86692E+11
7/20/2017,1664526975
7/24/2017,2.44606E+11
7/25/2017,4.50219E+11
7/26/2017,1.19907E+11
7/27/2017,92362771187
7/28/2017,30525192818
7/31/2017,7.35013E+11
1/8/2017,4.69835E+11
3/8/2017,688445
4/8/2017,3.08388E+11
7/8/2017,3.24033E+11
9/8/2017,1.49277E+11
10/8/2017,1763281327
8/14/2017,1.58679E+11
8/15/2017,4.2614E+11
8/18/2017,2.39224E+11
8/22/2017,1.00248E+12
8/23/2017,3.27737E+11
8/24/2017,1.05174E+11
8/28/2017,6.66497E+11
8/30/2017,1.45873E+11
8/31/2017,3.05915E+11
4/9/2017,1.59085E+12
5/9/2017,1.41015E+11
7/9/2017,3.6303E+11
8/9/2017,1789736874
11/9/2017,3.52378E+11
12/9/2017,4.03516E+11
9/13/2017,32496773427
9/14/2017,2.84758E+11
9/15/2017,2.32598E+11
9/19/2017,6.58359E+11
9/20/2017,1.02842E+11
9/22/2017,2.56855E+11
9/25/2017,1.42546E+11
9/26/2017,4.88022E+11
9/29/2017,6389503986
2/10/2017,6.03902E+11
3/10/2017,1.73506E+12
4/10/2017,32581223037
5/10/2017,35010237366
6/10/2017,1.67398E+11
9/10/2017,1.515E+11
11/10/2017,3.7862E+11
10/13/2017,1.79719E+11
10/16/2017,3.90407E+11
10/17/2017,1.55767E+11
10/19/2017,3.14756E+11
10/20/2017,3.76149E+11
10/24/2017,3.06408E+11
10/25/2017,2.00456E+11
10/27/2017,3.3614E+11
10/30/2017,1.17566E+12
1/11/2017,96806359253
2/11/2017,2.64223E+11
3/11/2017,182390
6/11/2017,1.58602E+11
7/11/2017,5.98695E+11
9/11/2017,16604582321
10/11/2017,1.11639E+11
11/13/2017,4.36055E+11
11/14/2017,2.46087E+11
11/15/2017,1.09101E+11
11/17/2017,89708046404
11/20/2017,6.63442E+11
11/21/2017,1.68771E+11
11/22/2017,70991592935
11/23/2017,2.85274E+11
11/24/2017,3.65377E+11
11/27/2017,3.3705E+11
11/28/2017,1.18064E+11
11/30/2017,79381152986
4/12/2017,1.86957E+12
6/12/2017,3375301045
7/12/2017,47460724983
8/12/2017,5.23787E+11
11/12/2017,147954
12/12/2017,2082519225
12/14/2017,1.15066E+11
12/15/2017,1.35536E+11
12/19/2017,1.19156E+12
12/20/2017,3.05564E+11
12/21/2017,2.16486E+11
12/27/2017,1.1028E+12
12/30/2017,2.15449E+12
3/1/2018,1687807215
8/1/2018,1.61997E+11
9/1/2018,1.23641E+11
11/1/2018,4.37404E+11
1/15/2018,2.13139E+11
1/16/2018,9.15114E+11
1/17/2018,3.25236E+11
1/18/2018,71934910569
1/19/2018,7.67519E+11
1/23/2018,93760296659
1/24/2018,4.10653E+11
1/26/2018,3.17102E+11
1/29/2018,7.66926E+11
1/30/2018,76817846864
1/31/2018,9.99851E+11
1/2/2018,1.61474E+12
2/2/2018,4.48881E+11
6/2/2018,5.26509E+11
8/2/2018,3.22104E+11
9/2/2018,1351667
12/2/2018,1642977579
2/13/2018,3.2678E+11
2/14/2018,1.91077E+11
2/15/2018,3.86757E+11
2/19/2018,8.49249E+11
2/20/2018,3.27781E+11
2/21/2018,70086004641
2/22/2018,4.61229E+11
2/23/2018,1.33009E+11
2/26/2018,1.25648E+11
2/27/2018,7.99291E+11
2/28/2018,52155574301
5/3/2018,2.89635E+12
6/3/2018,6.27886E+11
8/3/2018,57776914555
9/3/2018,3.41658E+11
12/3/2018,2.69537E+11
3/13/2018,7.27127E+11
3/16/2018,5.05149E+11
3/20/2018,4.1733E+11
3/21/2018,2586260988
3/23/2018,1.14263E+11
3/26/2018,5.60452E+11
3/27/2018,65706843138
3/28/2018,6.50029E+11
3/29/2018,1.61431E+12
2/4/2018,9.31552E+11
3/4/2018,51971447514
4/4/2018,1.35528E+11
5/4/2018,4.18286E+11
6/4/2018,6.67868E+11
9/4/2018,54657633568
11/4/2018,6.90004E+11
12/4/2018,1.19999E+11
4/13/2018,3.29959E+11
4/16/2018,3869216
4/17/2018,1.6406E+11
4/19/2018,1.70431E+11
4/20/2018,4.84468E+11
4/25/2018,4.59126E+11
4/26/2018,2627754281
4/27/2018,5.87384E+11
